Buy Threshold,Sell Threshold,Total Returns,Average Returns,Win Rate (%),Total Trades,Performance vs Buy and Hold (%)
14,69,-64.82,-4.99,41.67,24,-93.61
14,70,-63.19,-4.86,45.83,24,-93.31
14,71,-60.82,-4.68,45.83,24,-92.88
14,72,-61.49,-4.73,45.83,24,-93.0
14,73,-55.21,-4.25,50.0,24,-91.86
14,74,-63.1,-4.85,40.91,22,-93.29
14,75,-49.73,-3.83,45.45,22,-90.86
14,76,-46.43,-3.57,45.45,22,-90.26
14,77,-47.48,-3.65,45.45,22,-90.45
14,78,-55.72,-4.29,40.0,20,-91.95
14,79,-40.9,-3.15,43.75,16,-89.26
14,80,-34.05,-2.62,50.0,16,-88.01
14,81,-29.21,-2.25,64.29,14,-87.13
14,82,-21.84,-1.68,64.29,14,-85.79
14,83,9.77,0.75,64.29,14,-80.04
14,84,88.07,6.77,69.23,13,-65.81
14,85,88.07,6.77,69.23,13,-65.81
14,86,88.07,6.77,69.23,13,-65.81
14,87,96.17,7.4,69.23,13,-64.34
14,88,162.6,12.51,69.23,13,-52.26
14,89,159.35,12.26,69.23,13,-52.85
14,90,160.99,12.38,69.23,13,-52.55
14,91,168.02,12.92,66.67,9,-51.28
14,92,209.45,16.11,66.67,9,-43.74
14,93,212.48,16.34,66.67,9,-43.19
14,94,243.7,18.75,66.67,9,-37.52
14,95,509.17,39.17,80.0,5,10.74
15,65,-67.14,-5.16,45.16,31,-94.03
15,66,-63.72,-4.9,48.39,31,-93.4
15,67,-61.4,-4.72,48.39,31,-92.98
15,68,-59.88,-4.61,48.39,31,-92.71
15,69,-62.25,-4.79,42.31,26,-93.14
15,70,-60.51,-4.65,46.15,26,-92.82
15,71,-57.81,-4.45,46.15,26,-92.33
15,72,-58.63,-4.51,46.15,26,-92.48
15,73,-52.01,-4.0,50.0,26,-91.28
15,74,-59.21,-4.55,41.67,24,-92.58
15,75,-44.24,-3.4,45.83,24,-89.86
15,76,-40.78,-3.14,45.83,24,-89.23
15,77,-41.97,-3.23,45.83,24,-89.45
15,78,-50.7,-3.9,40.91,22,-91.04
15,79,-34.14,-2.63,44.44,18,-88.03
15,80,-26.57,-2.04,50.0,18,-86.65
15,81,-20.98,-1.61,62.5,16,-85.63
15,82,-12.43,-0.96,62.5,16,-84.08
15,83,22.91,1.76,62.5,16,-77.66
15,84,109.52,8.42,66.67,15,-61.91
15,85,111.63,8.59,66.67,15,-61.53
15,86,111.63,8.59,66.67,15,-61.53
15,87,120.1,9.24,66.67,15,-59.99
15,88,162.6,12.51,69.23,13,-52.26
15,89,159.35,12.26,69.23,13,-52.85
15,90,160.99,12.38,69.23,13,-52.55
15,91,168.02,12.92,66.67,9,-51.28
15,92,209.45,16.11,66.67,9,-43.74
15,93,212.48,16.34,66.67,9,-43.19
15,94,243.7,18.75,66.67,9,-37.52
15,95,509.17,39.17,80.0,5,10.74
16,65,-64.65,-4.97,45.45,33,-93.57
16,66,-60.72,-4.67,48.48,33,-92.86
16,67,-58.25,-4.48,48.48,33,-92.41
16,68,-56.75,-4.37,48.48,33,-92.14
16,69,-58.42,-4.49,42.86,28,-92.44
16,70,-56.47,-4.34,46.43,28,-92.09
16,71,-53.64,-4.13,46.43,28,-91.57
16,72,-54.32,-4.18,46.43,28,-91.7
16,73,-47.3,-3.64,50.0,28,-90.42
16,74,-53.43,-4.11,42.31,26,-91.53
16,75,-43.04,-3.31,45.83,24,-89.65
16,76,-39.34,-3.03,45.83,24,-88.97
16,77,-40.67,-3.13,45.83,24,-89.21
16,78,-50.87,-3.91,40.91,22,-91.07
16,79,-34.4,-2.65,44.44,18,-88.07
16,80,-26.91,-2.07,50.0,18,-86.71
16,81,-21.29,-1.64,62.5,16,-85.69
16,82,-12.78,-0.98,62.5,16,-84.14
16,83,22.46,1.73,62.5,16,-77.74
16,84,108.54,8.35,66.67,15,-62.09
16,85,110.69,8.51,66.67,15,-61.7
16,86,110.69,8.51,66.67,15,-61.7
16,87,119.37,9.18,66.67,15,-60.12
16,88,161.52,12.42,69.23,13,-52.46
16,89,158.33,12.18,69.23,13,-53.04
16,90,159.97,12.31,69.23,13,-52.74
16,91,166.94,12.84,66.67,9,-51.47
16,92,208.02,16.0,66.67,9,-44.0
16,93,211.32,16.26,66.67,9,-43.4
16,94,242.22,18.63,66.67,9,-37.79
16,95,509.17,39.17,80.0,5,10.74
17,65,-64.14,-4.93,42.86,35,-93.48
17,66,-60.15,-4.63,45.71,35,-92.76
17,67,-57.72,-4.44,45.71,35,-92.31
17,68,-55.78,-4.29,45.71,35,-91.96
17,69,-57.09,-4.39,43.33,30,-92.2
17,70,-55.61,-4.28,46.67,30,-91.93
17,71,-50.94,-3.92,50.0,30,-91.08
17,72,-48.59,-3.74,50.0,30,-90.65
17,73,-40.79,-3.14,53.33,30,-89.24
17,74,-48.16,-3.7,46.43,28,-90.58
17,75,-36.46,-2.8,50.0,26,-88.45
17,76,-32.54,-2.5,50.0,26,-87.74
17,77,-34.01,-2.62,50.0,26,-88.0
17,78,-45.88,-3.53,40.91,22,-90.16
17,79,-27.87,-2.14,44.44,18,-86.89
17,80,-19.99,-1.54,50.0,18,-85.45
17,81,-13.82,-1.06,62.5,16,-84.33
17,82,-4.46,-0.34,62.5,16,-82.63
17,83,34.09,2.62,62.5,16,-75.62
17,84,128.89,9.91,66.67,15,-58.39
17,85,131.19,10.09,66.67,15,-57.97
17,86,131.19,10.09,66.67,15,-57.97
17,87,140.41,10.8,66.67,15,-56.3
17,88,196.25,15.1,69.23,13,-46.15
17,89,192.5,14.81,69.23,13,-46.83
17,90,194.25,14.94,69.23,13,-46.51
17,91,202.26,15.56,66.67,9,-45.05
17,92,247.04,19.0,66.67,9,-36.91
17,93,250.92,19.3,66.67,9,-36.21
17,94,281.92,21.69,66.67,9,-30.57
17,95,509.17,39.17,80.0,5,10.74
18,65,-58.5,-4.5,45.95,37,-92.45
18,66,-53.92,-4.15,48.65,37,-91.62
18,67,-51.09,-3.93,48.65,37,-91.11
18,68,-48.83,-3.76,48.65,37,-90.7
18,69,-53.29,-4.1,43.33,30,-91.51
18,70,-51.6,-3.97,46.67,30,-91.2
18,71,-46.45,-3.57,46.67,30,-90.27
18,72,-43.93,-3.38,50.0,30,-89.81
18,73,-35.32,-2.72,53.33,30,-88.24
18,74,-43.32,-3.33,46.43,28,-89.7
18,75,-29.88,-2.3,50.0,26,-87.25
18,76,-25.64,-1.97,50.0,26,-86.48
18,77,-27.29,-2.1,50.0,26,-86.78
18,78,-39.59,-3.05,40.91,22,-89.02
18,79,-19.58,-1.51,44.44,18,-85.38
18,80,-10.94,-0.84,50.0,18,-83.81
18,81,-4.06,-0.31,62.5,16,-82.56
18,82,6.34,0.49,62.5,16,-80.67
18,83,49.22,3.79,62.5,16,-72.87
18,84,154.87,11.91,66.67,15,-53.67
18,85,157.6,12.12,66.67,15,-53.17
18,86,157.6,12.12,66.67,15,-53.17
18,87,167.5,12.88,66.67,15,-51.37
18,88,229.53,17.66,69.23,13,-40.1
18,89,225.58,17.35,69.23,13,-40.81
18,90,227.4,17.49,69.23,13,-40.48
18,91,238.31,18.33,66.67,9,-38.5
18,92,287.5,22.12,66.67,9,-29.56
18,93,291.9,22.45,66.67,9,-28.76
18,94,324.61,24.97,66.67,9,-22.81
18,95,509.17,39.17,80.0,5,10.74
19,65,-59.97,-4.61,45.95,37,-92.72
19,66,-55.45,-4.27,48.65,37,-91.9
19,67,-52.7,-4.05,48.65,37,-91.4
19,68,-50.64,-3.9,48.65,37,-91.03
19,69,-54.83,-4.22,43.33,30,-91.79
19,70,-53.27,-4.1,46.67,30,-91.51
19,71,-48.25,-3.71,46.67,30,-90.59
19,72,-45.9,-3.53,50.0,30,-90.17
19,73,-37.59,-2.89,56.67,30,-88.65
19,74,-45.36,-3.49,50.0,28,-90.07
19,75,-35.19,-2.71,50.0,26,-88.22
19,76,-31.19,-2.4,50.0,26,-87.49
19,77,-32.69,-2.51,50.0,26,-87.76
19,78,-42.72,-3.29,40.91,22,-89.59
19,79,-23.72,-1.82,44.44,18,-86.13
19,80,-15.44,-1.19,50.0,18,-84.63
19,81,-8.91,-0.69,62.5,16,-83.44
19,82,0.91,0.07,62.5,16,-81.66
19,83,41.7,3.21,62.5,16,-74.24
19,84,142.05,10.93,66.67,15,-56.0
19,85,144.44,11.11,66.67,15,-55.56
19,86,144.44,11.11,66.67,15,-55.56
19,87,153.81,11.83,66.67,15,-53.86
19,88,212.9,16.38,69.23,13,-43.12
19,89,209.08,16.08,69.23,13,-43.81
19,90,211.15,16.24,69.23,13,-43.44
19,91,221.17,17.01,66.67,9,-41.61
19,92,268.28,20.64,66.67,9,-33.05
19,93,272.53,20.96,66.67,9,-32.28
19,94,304.51,23.42,66.67,9,-26.46
19,95,509.17,39.17,80.0,5,10.74
20,65,-43.43,-3.34,46.34,41,-89.72
20,66,-45.77,-3.52,48.72,39,-90.14
20,67,-42.48,-3.27,48.72,39,-89.54
20,68,-36.53,-2.81,48.72,39,-88.46
20,69,-38.49,-2.96,43.75,32,-88.82
20,70,-36.35,-2.8,46.88,32,-88.43
20,71,-29.48,-2.27,50.0,32,-87.18
20,72,-25.57,-1.97,50.0,32,-86.47
20,73,-14.12,-1.09,56.25,32,-84.39
20,74,-24.74,-1.9,50.0,30,-86.32
20,75,-14.23,-1.09,50.0,28,-84.41
20,76,-9.0,-0.69,50.0,28,-83.46
20,77,-10.51,-0.81,50.0,28,-83.73
20,78,-18.42,-1.42,41.67,24,-85.17
20,79,8.66,0.67,45.0,20,-80.25
20,80,20.45,1.57,50.0,20,-78.1
20,81,29.73,2.29,61.11,18,-76.42
20,82,43.83,3.37,61.11,18,-73.85
20,83,80.78,6.21,66.67,18,-67.14
20,84,141.67,10.9,66.67,15,-56.07
20,85,144.3,11.1,66.67,15,-55.59
20,86,144.3,11.1,66.67,15,-55.59
20,87,153.67,11.82,66.67,15,-53.88
20,88,212.44,16.34,69.23,13,-43.2
20,89,208.59,16.05,69.23,13,-43.9
20,90,210.66,16.2,69.23,13,-43.53
20,91,221.17,17.01,66.67,9,-41.61
20,92,268.28,20.64,66.67,9,-33.05
20,93,272.53,20.96,66.67,9,-32.28
20,94,304.51,23.42,66.67,9,-26.46
20,95,509.17,39.17,80.0,5,10.74
21,65,-43.35,-3.33,48.84,43,-89.7
21,66,-47.39,-3.65,51.22,41,-90.44
21,67,-43.56,-3.35,51.22,41,-89.74
21,68,-37.83,-2.91,51.22,41,-88.7
21,69,-39.67,-3.05,47.06,34,-89.03
21,70,-37.55,-2.89,50.0,34,-88.65
21,71,-30.85,-2.37,52.94,34,-87.43
21,72,-26.93,-2.07,52.94,34,-86.72
21,73,-15.6,-1.2,55.88,34,-84.66
21,74,-26.13,-2.01,50.0,32,-86.57
21,75,-13.83,-1.06,53.33,30,-84.34
21,76,-8.55,-0.66,53.33,30,-83.38
21,77,-10.07,-0.77,53.33,30,-83.65
21,78,-18.04,-1.39,46.15,26,-85.1
21,79,9.26,0.71,50.0,22,-80.14
21,80,21.27,1.64,54.55,22,-77.95
21,81,30.6,2.35,60.0,20,-76.26
21,82,28.29,2.18,55.56,18,-76.68
21,83,61.22,4.71,61.11,18,-70.69
21,84,116.2,8.94,60.0,15,-60.7
21,85,118.43,9.11,60.0,15,-60.29
21,86,118.43,9.11,60.0,15,-60.29
21,87,127.12,9.78,60.0,15,-58.71
21,88,179.75,13.83,61.54,13,-49.14
21,89,176.38,13.57,61.54,13,-49.76
21,90,178.1,13.7,61.54,13,-49.44
21,91,187.51,14.42,55.56,9,-47.73
21,92,231.08,17.78,66.67,9,-39.81
21,93,234.87,18.07,66.67,9,-39.12
21,94,264.25,20.33,66.67,9,-33.78
21,95,477.13,36.7,80.0,5,4.92
22,65,-49.14,-3.78,46.51,43,-90.75
22,66,-52.88,-4.07,48.78,41,-91.43
22,67,-49.48,-3.81,48.78,41,-90.82
22,68,-44.25,-3.4,51.22,41,-89.86
22,69,-44.78,-3.44,47.06,34,-89.96
22,70,-42.86,-3.3,50.0,34,-89.61
22,71,-36.71,-2.82,52.94,34,-88.5
22,72,-33.11,-2.55,52.94,34,-87.84
22,73,-22.68,-1.74,55.88,34,-85.94
22,74,-32.33,-2.49,50.0,32,-87.7
22,75,-21.1,-1.62,53.33,30,-85.66
22,76,-16.14,-1.24,53.33,30,-84.75
22,77,-17.55,-1.35,53.33,30,-85.01
22,78,-24.9,-1.92,46.15,26,-86.35
22,79,0.14,0.01,50.0,22,-81.8
22,80,11.2,0.86,54.55,22,-79.79
22,81,19.94,1.53,60.0,20,-78.2
22,82,17.86,1.37,55.56,18,-78.57
22,83,48.12,3.7,61.11,18,-73.07
22,84,98.52,7.58,60.0,15,-63.91
22,85,100.66,7.74,60.0,15,-63.52
22,86,100.66,7.74,60.0,15,-63.52
22,87,108.47,8.34,60.0,15,-62.1
22,88,157.0,12.08,61.54,13,-53.28
22,89,153.79,11.83,61.54,13,-53.86
22,90,155.47,11.96,61.54,13,-53.56
22,91,169.8,13.06,55.56,9,-50.95
22,92,211.66,16.28,55.56,9,-43.34
22,93,215.08,16.54,55.56,9,-42.72
22,94,242.82,18.68,55.56,9,-37.68
22,95,443.38,34.11,60.0,5,-1.22
23,65,-35.82,-2.76,51.11,45,-88.33
23,66,-40.56,-3.12,51.16,43,-89.19
23,67,-36.47,-2.81,51.16,43,-88.45
23,68,-27.43,-2.11,53.49,43,-86.81
23,69,-26.08,-2.01,50.0,36,-86.56
23,70,-23.53,-1.81,52.78,36,-86.1
23,71,-15.34,-1.18,55.56,36,-84.61
23,72,-10.57,-0.81,55.56,36,-83.74
23,73,3.19,0.25,61.11,36,-81.24
23,74,-9.72,-0.75,55.88,34,-83.59
